"Capítulo CID-10";"1 Região Norte";"2 Região Nordeste";"3 Região Sudeste";"4 Região Sul";"5 Região Centro-Oeste";"Total"
"I.   Algumas doenças infecciosas e parasitárias";35680;92273;231051;83068;44595;486667
"II.  Neoplasias (tumores)";12156;52810;110148;44989;15702;235805
"III. Doenças sangue órgãos hemat e transt imunitár";561;2013;3419;842;461;7296
"IV.  Doenças endócrinas nutricionais e metabólicas";6512;29072;39968;15465;5801;96818
"V.   Transtornos mentais e comportamentais";662;5431;8183;2823;1310;18409
"VI.  Doenças do sistema nervoso";1937;10642;23310;10547;3091;49527
"VII. Doenças do olho e anexos";3;7;11;2;1;24
"VIII.Doenças do ouvido e da apófise mastóide";15;46;73;17;5;156
"IX.  Doenças do aparelho circulatório";21279;99733;177183;58508;25804;382507
"X.   Doenças do aparelho respiratório";9085;34453;69906;20089;8935;142468
"XI.  Doenças do aparelho digestivo";4150;18893;32820;10965;5489;72317
"XII. Doenças da pele e do tecido subcutâneo";320;2551;4092;848;358;8169
"XIII.Doenças sist osteomuscular e tec conjuntivo";367;1690;2949;774;390;6170
"XIV. Doenças do aparelho geniturinário";2384;10510;27674;7166;3124;50858
"XV.  Gravidez parto e puerpério";479;957;1207;434;331;3408
"XVI. Algumas afec originadas no período perinatal";2588;6099;6427;1982;1506;18602
"XVII.Malf cong deformid e anomalias cromossômicas";1148;2873;3662;1379;930;9992
"XVIII.Sint sinais e achad anorm ex clín e laborat";7624;26187;48404;8916;3003;94134
"XX.  Causas externas de morbidade e mortalidade";14404;47632;53247;21412;12627;149322
"Total";121354;443872;843734;290226;133463;1832649
