"Capítulo CID-10";"1 Região Norte";"2 Região Nordeste";"3 Região Sudeste";"4 Região Sul";"5 Região Centro-Oeste";"Total"
"I.   Algumas doenças infecciosas e parasitárias";4221;15222;25701;7571;3951;56666
"II.  Neoplasias (tumores)";12098;52717;110909;44064;15513;235301
"III. Doenças sangue órgãos hemat e transt imunitár";531;2053;3240;793;451;7068
"IV.  Doenças endócrinas nutricionais e metabólicas";6128;25447;33269;13271;5370;83485
"V.   Transtornos mentais e comportamentais";446;4030;6855;2140;1055;14526
"VI.  Doenças do sistema nervoso";1731;9189;21891;9463;2961;45235
"VII. Doenças do olho e anexos";3;7;10;2;1;23
"VIII.Doenças do ouvido e da apófise mastóide";13;50;105;21;17;206
"IX.  Doenças do aparelho circulatório";19603;96244;170916;54161;23208;364132
"X.   Doenças do aparelho respiratório";9064;38807;78472;25044;10618;162005
"XI.  Doenças do aparelho digestivo";3858;18158;31583;10276;4895;68770
"XII. Doenças da pele e do tecido subcutâneo";318;2247;3613;674;300;7152
"XIII.Doenças sist osteomuscular e tec conjuntivo";313;1687;3291;817;398;6506
"XIV. Doenças do aparelho geniturinário";2236;10310;25959;6202;2859;47566
"XV.  Gravidez parto e puerpério";250;542;627;159;148;1726
"XVI. Algumas afec originadas no período perinatal";2536;6545;7423;2281;1569;20354
"XVII.Malf cong deformid e anomalias cromossômicas";1248;3268;4197;1565;1030;11308
"XVIII.Sint sinais e achad anorm ex clín e laborat";7034;21994;36049;7253;2642;74972
"XX.  Causas externas de morbidade e mortalidade";14055;44284;52133;20329;11999;142800
"Total";85686;352801;616243;206086;88985;1349801
