"Capítulo CID-10";"1 Região Norte";"2 Região Nordeste";"3 Região Sudeste";"4 Região Sul";"5 Região Centro-Oeste";"Total"
"I.   Algumas doenças infecciosas e parasitárias";8984;30808;61924;20132;9952;131800
"II.  Neoplasias (tumores)";12887;54548;113545;46762;16267;244009
"III. Doenças sangue órgãos hemat e transt imunitár";538;2146;3451;830;519;7484
"IV.  Doenças endócrinas nutricionais e metabólicas";6157;29024;37316;15647;5697;93841
"V.   Transtornos mentais e comportamentais";643;5930;8138;3333;1211;19255
"VI.  Doenças do sistema nervoso";2232;12194;26223;12304;3479;56432
"VII. Doenças do olho e anexos";1;13;11;3;1;29
"VIII.Doenças do ouvido e da apófise mastóide";10;73;123;22;16;244
"IX.  Doenças do aparelho circulatório";22020;104694;184600;62490;26350;400154
"X.   Doenças do aparelho respiratório";10485;44971;81611;27473;11533;176073
"XI.  Doenças do aparelho digestivo";4296;20474;34176;11692;5847;76485
"XII. Doenças da pele e do tecido subcutâneo";470;3167;4477;948;452;9514
"XIII.Doenças sist osteomuscular e tec conjuntivo";374;1767;3390;948;506;6985
"XIV. Doenças do aparelho geniturinário";2563;11923;30446;7784;3587;56303
"XV.  Gravidez parto e puerpério";234;526;562;177;141;1640
"XVI. Algumas afec originadas no período perinatal";2261;5773;6482;2063;1450;18029
"XVII.Malf cong deformid e anomalias cromossômicas";1143;2967;3851;1517;969;10447
"XVIII.Sint sinais e achad anorm ex clín e laborat";6659;24321;40295;8523;2799;82597
"XX.  Causas externas de morbidade e mortalidade";14595;47813;54848;22573;13116;152945
"Total";96552;403132;695469;245221;103892;1544266
